ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,1,0,37,0,-37
1,1,1,328,1455,1127
2,1,1,404,1454,1050
3,1,0,12,0,-12
4,0,0,6,0,-6
5,1,1,142,1227,1085
6,1,0,17,0,-17
7,0,0,261,0,-261
8,0,0,58,0,-58
9,1,0,0,0,0
10,1,0,71,0,-71
11,0,0,6,0,-6
12,0,0,19,0,-19
13,1,0,18,0,-18
14,1,1,96,1881,1785
15,1,0,31,0,-31
16,0,0,2,0,-2
17,0,0,11,0,-11
18,1,0,69,0,-69
19,0,0,38,0,-38
20,0,0,38,0,-38
21,0,0,54,0,-54
22,1,1,1036,1453,417
23,1,1,615,1227,612
24,1,1,1318,1420,102
25,0,0,34,0,-34
26,1,0,13,0,-13
27,1,1,914,2003,1089
28,0,0,117,0,-117
29,1,1,318,1402,1084
30,1,1,54,1807,1753
31,0,0,23,0,-23
32,0,0,17,0,-17
33,1,0,47,0,-47
34,0,0,50,0,-50
35,1,0,28,0,-28
36,0,0,10,0,-10
37,0,0,49,0,-49
38,0,0,7,0,-7
39,0,0,77,0,-77
40,1,0,74,0,-74
41,1,0,46,0,-46
42,1,1,964,1269,305
43,0,0,45,0,-45
44,1,1,463,2386,1923
45,0,0,100,0,-100
46,0,0,2,0,-2
47,0,0,24,0,-24
48,0,0,94,0,-94
49,1,1,57,1785,1728
50,0,0,24,0,-24
51,1,1,696,1817,1121
52,0,0,31,0,-31
53,0,0,9,0,-9
54,1,0,1,0,-1
55,1,1,222,1297,1075
56,1,0,35,0,-35
57,1,1,205,2542,2337
58,1,1,1460,1764,304
59,1,1,708,1217,509
60,1,1,1331,1459,128
61,1,0,59,0,-59
62,1,1,559,1284,725
63,1,0,59,0,-59
64,1,1,123,1640,1517
65,0,0,13,0,-13
66,1,0,50,0,-50
67,0,0,14,0,-14
68,0,0,80,0,-80
69,0,0,0,0,0
70,0,0,113,0,-113
71,1,0,61,0,-61
72,1,0,4,0,-4
73,0,0,4,0,-4
74,0,0,39,0,-39
75,1,0,85,0,-85
76,1,1,276,1447,1171
77,1,1,654,1371,717
78,0,0,77,0,-77
79,1,1,1212,3370,2158
80,0,0,11,0,-11
81,0,0,38,0,-38
82,0,0,52,0,-52
83,0,0,35,0,-35
84,0,0,40,0,-40
85,0,0,32,0,-32
86,0,0,9,0,-9
87,0,0,15,0,-15
88,1,1,821,1722,901
89,0,0,71,0,-71
90,0,0,28,0,-28
91,1,0,41,0,-41
92,0,0,54,0,-54
93,1,0,11,0,-11
94,0,0,14,0,-14
95,0,0,11,0,-11
96,0,0,3,0,-3
97,1,1,723,1344,621
98,0,0,41,0,-41
99,1,1,161,1224,1063
100,0,0,57,0,-57
101,1,1,308,1245,937
102,1,0,23,0,-23
103,0,0,56,0,-56
104,1,0,13,0,-13
105,1,1,790,2038,1248
106,1,1,109,1342,1233
107,1,0,33,0,-33
108,0,0,5,0,-5
109,1,0,2,0,-2
110,0,0,64,0,-64
111,1,0,60,0,-60
112,1,1,417,1277,860
113,1,1,787,2033,1246
114,0,0,72,0,-72
115,1,1,300,1522,1222
116,1,0,30,0,-30
117,1,1,174,1943,1769
118,0,0,19,0,-19
119,1,1,786,2005,1219
120,1,0,0,0,0
121,1,0,14,0,-14
122,1,0,143,0,-143
123,1,1,210,1610,1400
124,0,0,1,0,-1
125,1,0,30,0,-30
126,0,0,24,0,-24
127,1,0,12,0,-12
128,0,0,101,0,-101
129,1,1,466,1271,805
130,1,0,3,0,-3
131,1,0,119,0,-119
132,1,1,384,1289,905
133,1,0,102,0,-102
134,1,0,149,0,-149
135,0,0,26,0,-26
136,0,0,113,0,-113
137,1,1,368,1604,1236
138,1,0,16,0,-16
139,1,1,97,1274,1177
140,0,0,141,0,-141
