ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,1,0,79,0,-79
1,1,0,13,0,-13
2,1,0,13,0,-13
3,0,0,27,0,-27
4,1,1,1385,2256,871
5,1,1,526,2274,1748
6,0,0,41,0,-41
7,0,0,61,0,-61
8,0,0,34,0,-34
9,1,0,14,0,-14
10,1,1,133,1254,1121
11,0,0,58,0,-58
12,0,0,117,0,-117
13,0,0,5,0,-5
14,0,0,16,0,-16
15,1,1,1282,1273,-9
16,1,1,98,1259,1161
17,1,0,61,0,-61
18,1,0,52,0,-52
19,1,0,19,0,-19
20,0,0,91,0,-91
21,1,0,8,0,-8
22,1,0,9,0,-9
23,0,0,14,0,-14
24,1,1,136,1763,1627
25,1,0,111,0,-111
26,1,1,209,2252,2043
27,0,0,10,0,-10
28,1,1,190,1376,1186
29,1,1,917,1243,326
30,1,0,120,0,-120
31,1,0,25,0,-25
32,1,1,92,1651,1559
33,0,0,170,0,-170
34,0,0,0,0,0
35,1,1,406,1624,1218
36,1,1,865,1213,348
37,1,1,745,1369,624
38,1,1,764,1202,438
39,1,1,523,1225,702
40,0,0,114,0,-114
41,0,0,33,0,-33
42,1,1,1467,1328,-139
43,1,0,30,0,-30
44,1,0,61,0,-61
45,1,0,27,0,-27
46,1,1,451,2226,1775
47,1,1,873,1455,582
48,1,0,5,0,-5
49,1,0,33,0,-33
50,0,0,11,0,-11
51,1,1,351,1399,1048
52,1,0,4,0,-4
53,1,0,130,0,-130
54,1,0,55,0,-55
55,0,0,54,0,-54
56,1,0,45,0,-45
57,1,0,11,0,-11
58,0,0,19,0,-19
59,1,1,217,1760,1543
60,0,0,5,0,-5
61,0,0,17,0,-17
62,1,1,38,1534,1496
63,1,0,119,0,-119
64,0,0,7,0,-7
65,0,0,11,0,-11
66,1,1,833,1873,1040
67,0,0,56,0,-56
68,1,0,64,0,-64
69,1,1,824,1406,582
70,1,0,4,0,-4
71,0,0,351,0,-351
72,1,1,341,1845,1504
73,1,1,219,1350,1131
74,1,0,21,0,-21
75,1,1,1029,1389,360
76,0,0,8,0,-8
77,1,0,69,0,-69
78,1,1,293,1549,1256
79,1,1,941,2629,1688
80,1,0,51,0,-51
81,1,1,742,1426,684
82,1,1,190,1364,1174
83,1,1,711,1522,811
84,1,0,9,0,-9
85,0,0,44,0,-44
86,0,0,63,0,-63
87,1,1,524,1284,760
88,1,0,51,0,-51
89,1,1,183,3554,3371
90,1,1,155,2339,2184
91,0,0,14,0,-14
92,0,0,43,0,-43
93,0,0,8,0,-8
94,1,0,107,0,-107
95,0,0,63,0,-63
96,1,0,9,0,-9
97,0,0,0,0,0
98,0,0,64,0,-64
99,1,0,7,0,-7
100,0,0,12,0,-12
101,1,0,3,0,-3
102,1,1,1793,4673,2880
103,0,0,42,0,-42
104,0,0,14,0,-14
105,1,1,328,1224,896
106,0,0,1,0,-1
107,0,0,97,0,-97
108,0,0,3,0,-3
109,1,0,19,0,-19
110,1,1,120,1406,1286
111,0,0,54,0,-54
112,0,0,51,0,-51
113,1,1,800,1392,592
114,1,0,6,0,-6
115,1,1,91,1573,1482
116,1,0,3,0,-3
117,1,0,50,0,-50
118,0,0,70,0,-70
119,0,0,4,0,-4
120,1,1,2215,1505,-710
121,0,0,113,0,-113
122,0,0,13,0,-13
123,1,0,4,0,-4
124,1,0,20,0,-20
125,0,0,61,0,-61
126,0,0,219,0,-219
127,1,1,1012,1346,334
128,1,1,941,1241,300
129,1,1,328,1283,955
130,1,1,278,3382,3104
131,0,0,10,0,-10
132,1,1,732,3210,2478
133,0,0,5,0,-5
