ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
0,55,21417.093711546022,0.0034159861260961506,1,242,21720,1470,22948
1,29,24503.25391003161,0.004749773367969365,1,367,6167,1851,7651
2,19,32798.7894493819,0.07301893623832588,1,153,13300,2804,15951
3,55,27359.92980377457,0.18145663869039563,0,175,0,0,-175
4,20,23541.209440162995,0.08547881973129585,1,432,6252,1409,7229
5,22,22636.06065679369,0.5311930070358507,1,538,5572,1610,6644
6,24,34878.16759528798,0.0759184411380172,0,16,0,0,-16
7,58,29793.687752875507,0.01308824453413663,0,58,0,0,-58
8,32,32964.461401544315,0.09212396317095373,1,628,7517,3290,10179
9,19,23553.677924590134,0.061541271779081995,0,2,0,0,-2
10,37,23520.523821126426,0.21080648384046494,1,89,6232,1380,7523
11,38,55490.985461609635,0.014517103087361812,1,2210,5865,1491,5146
12,18,23938.456669858788,0.14484688059095036,1,1051,11849,2868,13666
13,43,20699.511806966293,0.062051465512319964,1,166,11547,1939,13320
14,74,21031.499558263236,0.10092142620800895,1,317,5899,1740,7322
15,58,24359.949274686547,0.09010302330280048,1,195,8791,2158,10754
16,53,20261.849639005013,0.03684362115598563,1,517,15399,1585,16467
17,24,25071.56678180478,0.5106222829392654,0,13,0,0,-13
18,21,20567.490510501935,0.1040886643117091,1,608,8665,1620,9677
19,61,40804.871497218206,0.13798405972588623,1,313,9333,1369,10389
20,22,24182.710666733612,0.10846106861714062,0,20,0,0,-20
21,72,26320.343417649532,0.15874884700201272,1,355,11989,1383,13017
22,57,20480.17221768203,0.05406679804308987,0,32,0,0,-32
23,57,20762.334305768403,0.0564891378576723,1,953,8109,2787,9943
24,19,29193.324269221142,0.0548579829818014,1,1946,5586,2264,5904
25,22,31477.43726417384,0.1356577549747706,1,539,6112,3360,8933
26,19,45135.41906792558,0.01912444892438888,1,76,13513,1892,15329
27,75,20007.173007697464,0.13621819582011344,1,985,5614,1631,6260
28,39,20382.80322361633,0.06368900031560491,1,363,13420,1545,14602
29,67,31016.01578224872,0.10456384223073245,1,300,6365,1564,7629
30,63,93684.3707677072,0.012773553319031976,1,153,30506,1940,32293
31,59,30696.078388361246,0.08054569722250349,1,494,6756,2588,8850
32,60,20784.583752856455,0.12204343120879273,1,1250,9604,1618,9972
33,35,21795.18877778793,0.30169650743288584,1,876,7219,1357,7700
34,27,22657.484795203996,0.10726962859799372,0,19,0,0,-19
35,40,73559.33147173819,0.05753564470348131,0,79,0,0,-79
36,19,23943.738082690794,0.18952142393948485,0,100,0,0,-100
37,54,23102.150255447457,0.0001857957087583618,0,42,0,0,-42
