ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
0,64,22147.033028626065,0.026553563500956834,1,798,6077,1690,6969
1,31,49100.07724784974,0.20040386537014904,1,249,8300,1863,9914
2,32,31146.76489148005,0.04181731360775326,1,39,6887,1380,8228
3,18,50246.573533227776,0.01950528079051579,1,524,6225,1439,7140
4,70,25885.851067417112,0.17881430938171194,1,762,5760,4360,9358
5,42,31902.21600656601,0.2396234753426503,1,116,9566,2597,12047
6,58,21168.27797610578,0.12893083006679878,1,1035,10396,1510,10871
7,73,23436.8995001533,0.13532516661514699,0,60,0,0,-60
8,59,46285.552012871645,0.040967024169223334,1,145,6025,1676,7556
9,53,25177.99352364957,0.011066974106020368,1,177,5729,1342,6894
10,71,24269.64555781888,0.05277555696310909,1,1208,7310,1441,7543
11,56,35400.98369037882,0.21330214090966754,1,232,14916,1599,16283
12,22,30972.79827242567,0.21681258401447245,1,180,8345,2557,10722
13,62,36557.54726426367,0.31825088232260007,0,42,0,0,-42
14,39,20482.864522658292,0.06507895225806427,1,1546,5953,1492,5899
15,26,34694.21457429879,0.3388781748356572,0,37,0,0,-37
16,64,29084.73265495615,0.03844313514860609,1,302,14892,1821,16411
17,36,46375.03772613234,0.09365236446741106,1,202,13019,2057,14874
18,36,44261.243566365665,0.07221714824162358,1,95,12345,1452,13702
19,52,20298.00094760403,0.08062285263859406,1,174,6160,1391,7377
20,24,24383.221593309998,0.25558860588584076,1,333,12806,1607,14080
21,70,29938.108309638785,0.05572259604750889,1,367,7913,1462,9008
22,28,25118.3554060942,0.2573986660112498,0,38,0,0,-38
23,71,20046.523502042848,0.10107240988028086,1,390,11596,1729,12935
24,23,20802.829883326904,0.05423218484746732,1,209,5627,2562,7980
25,43,21723.84556840043,0.06433571140641213,0,6,0,0,-6
26,23,23277.46568408367,0.21662616222978032,0,109,0,0,-109
27,27,21690.92452119643,0.04215088200725857,1,766,5970,1443,6647
28,64,24217.113617288756,0.046062495349122996,1,141,5517,1343,6719
29,22,22944.064179335823,0.0521597048951768,1,652,17043,1484,17875
30,74,42168.77204950498,0.12283976649447856,1,128,7632,1613,9117
31,18,23730.94813728994,0.07630933821070879,1,121,5702,1448,7029
32,59,23156.14337670848,0.027576030660336336,1,1330,6948,2885,8503
33,20,28987.09629992104,0.19502352669371917,1,555,15540,1495,16480
34,33,28222.065862948748,0.024037735234339924,1,284,13877,1375,14968
35,19,134235.8490536494,0.023137474547301334,0,23,0,0,-23
36,34,34747.43898992257,0.028898305194754153,1,854,5829,1995,6970
37,63,20081.649915425074,0.032386291456882745,1,266,9716,2846,12296
38,65,26422.946185728513,0.20420873850189483,1,1932,6537,3487,8092
39,33,32695.15223067695,0.12409719060510864,0,20,0,0,-20
40,19,40931.047261418906,0.08119585843530719,1,1283,20954,1752,21423
41,66,21378.972139781752,0.03481709837578572,1,367,10753,1358,11744
42,60,22346.604276333896,0.035616754775915804,0,65,0,0,-65
43,60,45974.61844446278,0.21431131171363688,1,165,8855,2983,11673
44,29,20578.55759518772,0.07375344198728327,1,894,5734,1832,6672
45,65,28906.39568663996,0.3916186051855841,1,2138,6248,2203,6313
46,37,61465.387314175234,0.09093958630668246,1,1104,5376,1408,5680
47,29,40046.454703135765,0.009144389055502246,1,428,6060,2165,7797
48,21,21060.206181342994,0.36950320958200145,0,14,0,0,-14
49,52,27152.173867190293,0.14858144503398274,1,498,5541,1347,6390
50,20,53800.59968959435,0.08965691855457651,1,506,5394,1653,6541
51,18,29156.89464611263,0.02914205362784698,1,815,14587,3036,16808
52,40,23380.987364204742,0.0884202479313204,1,242,9414,1794,10966
53,27,20016.918735809853,0.05535981516053211,1,794,12312,3245,14763
54,45,36747.99910964774,0.14303093511283396,1,69,6110,2098,8139
55,19,25524.152217313433,0.0075693673874591165,1,172,6101,1560,7489
56,27,20825.61459710643,0.11070804004347756,1,25,28451,2075,30501
57,35,29708.777139966525,0.26502485331552933,1,919,6099,6007,11187
58,18,22058.52901918955,0.027571132233638666,1,566,7752,1567,8753
59,25,21080.393219439673,0.19788569373137324,0,108,0,0,-108
60,18,20930.963323714106,0.018209528232484402,1,94,5740,1347,6993
61,63,36941.5025811104,0.05869216777910724,1,514,8187,1401,9074
62,27,22346.387532731296,0.1420924412284618,0,70,0,0,-70
63,21,39644.896217277725,0.06584818498420883,1,95,5789,4236,9930
64,23,20223.697284236398,0.012621499050229896,1,586,8010,1387,8811
65,25,22276.57781262137,0.12128080449600928,1,224,17427,1410,18613
66,68,42874.04395481121,0.009039367520317483,1,357,7205,1631,8479
67,68,43281.04697256829,0.06176448232958609,1,48,6495,1687,8134
68,25,27030.903757522938,0.12308838268050526,1,385,6742,1706,8063
69,34,29305.790153025086,0.13459394068094296,1,768,6092,2734,8058
70,35,155915.6627824225,0.021592861592898235,0,63,0,0,-63
71,63,20516.404581863782,0.08851623194347692,1,848,9173,2446,10771
72,53,26498.770592268786,0.07305160076856793,1,423,6017,2417,8011
73,40,23362.857417887753,0.11274679585484043,1,2788,14116,1713,13041
74,73,36798.44677601065,0.0353147414417658,1,1439,6056,1336,5953
75,71,31189.998277006365,0.13271340268479417,0,26,0,0,-26
76,29,29146.238907610554,0.12466009648367488,1,746,6794,1369,7417
77,39,25960.055672392802,0.1352500814624426,1,193,7435,2076,9318
78,42,22516.307255000138,0.014486278942771857,0,90,0,0,-90
79,30,38010.11486620077,0.032187789053196324,1,723,13826,1608,14711
80,59,31991.818741208026,0.06993105642338672,1,575,8597,1849,9871
81,44,31239.418484293106,0.045942570146868034,1,449,6446,1424,7421
82,26,25027.823787459154,0.3788735253792858,1,1392,5838,1430,5876
83,63,20509.88541467917,0.38104218819945135,0,138,0,0,-138
84,31,21713.40905666754,0.07526312843875771,1,209,5335,1482,6608
85,24,28155.080522316428,0.0856279025408491,0,29,0,0,-29
86,48,20681.327575376195,0.09288791560344928,0,175,0,0,-175
87,44,25954.295505877588,0.07030855030538363,1,418,7168,1475,8225
88,40,20528.623028909555,0.03663419510259715,1,1412,7322,1457,7367
89,39,34173.886992020154,0.08000063871419419,1,234,5874,1866,7506
90,58,26560.808504631565,0.11049391523573697,1,132,10344,1796,12008
91,23,36270.9186082886,0.10871486440706381,1,605,8847,1442,9684
92,23,22258.33174263157,0.2087571711356522,0,42,0,0,-42
93,21,20268.45177063488,0.15195907322184773,1,68,5395,1344,6671
94,58,104266.34254076598,0.04155848827704428,1,154,5807,5248,10901
95,27,21639.49275598872,0.03849651181477543,1,273,5553,2119,7399
96,47,24545.020315086767,0.04126109554072142,1,454,8896,1513,9955
97,26,29765.095516715726,0.1168254505252917,1,225,13307,1901,14983
98,18,23264.28465637584,0.1594578602643674,0,7,0,0,-7
99,53,26750.23321273364,0.08639911546262131,1,165,9103,1551,10489
100,48,28237.46543233266,0.09174548810521924,1,585,6112,1514,7041
101,19,21203.802567188857,0.03838613504389616,1,712,7259,2490,9037
102,34,25673.962114043872,0.16896804473291668,0,1,0,0,-1
103,40,20471.46090224028,0.43578582132042437,1,222,5479,1425,6682
104,28,30980.350775605777,0.09499029320832629,0,13,0,0,-13
105,63,24090.680860502667,0.07139779779344098,1,559,11651,1355,12447
106,20,62120.492037170465,0.17152995818451677,1,225,10397,2304,12476
107,32,25300.0457666279,0.12627194548531984,0,38,0,0,-38
108,29,28631.1532795563,0.19967044171824433,1,570,5935,1731,7096
109,18,26344.3264916421,0.2255807263526833,0,63,0,0,-63
110,43,21852.285746281457,0.12220688180229773,1,253,25398,1380,26525
111,23,21985.004970886173,0.21961078800035533,1,369,7360,3032,10023
112,29,40261.56141459555,0.06213960713887641,1,1598,5349,1600,5351
113,40,26667.536514178304,0.1921883270914865,1,347,13703,5030,18386
114,54,24188.244148149468,0.18108950450819433,1,866,5339,1734,6207
115,28,25939.866345939907,0.1563745861788942,1,59,5417,1844,7202
116,55,29641.722777869974,0.0819022349356705,1,889,7667,1334,8112
117,36,22667.03654159404,0.02962684710701213,1,130,19206,4387,23463
118,70,21467.721216533057,0.10722422916443698,0,48,0,0,-48
119,23,24363.76892434825,0.043263566983066486,0,22,0,0,-22
120,50,33794.92418936957,0.20225435518470902,0,16,0,0,-16
121,33,24449.19785669882,0.26097882335373607,1,120,8245,1663,9788
122,50,24606.896580946348,0.16123983383057483,1,838,15830,2404,17396
123,71,49827.09405498582,0.06774310012093601,1,303,6942,1461,8100
124,61,24011.290854652583,0.053167349905526747,1,593,6955,2412,8774
125,74,27504.81630309807,0.015116244260631885,1,510,6245,2137,7872
126,44,20967.401165797182,0.16000143176077444,1,166,5510,1629,6973
127,49,44109.00872860022,0.45131931752603965,1,202,6642,1864,8304
128,62,26120.759407433714,0.2500223194238616,0,34,0,0,-34
129,49,22359.042724635285,0.04433036528476555,1,205,8694,1367,9856
130,44,36034.29085898096,0.08216958389017473,0,36,0,0,-36
131,58,22031.44581638244,0.03733284464627066,1,699,16236,1915,17452
