ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,1,0,113,0,-113
1,1,1,269,1707,1438
2,1,0,15,0,-15
3,1,1,273,2143,1870
4,1,1,607,1246,639
5,0,0,8,0,-8
6,1,1,102,1452,1350
7,1,0,14,0,-14
8,0,0,99,0,-99
9,1,0,13,0,-13
10,1,1,533,1899,1366
11,1,1,475,1666,1191
12,0,0,58,0,-58
13,1,1,88,1300,1212
14,0,0,9,0,-9
15,1,1,648,1228,580
16,0,0,20,0,-20
17,1,1,87,1257,1170
18,1,1,43,1808,1765
19,1,1,605,1679,1074
20,0,0,97,0,-97
21,1,1,207,1924,1717
22,1,0,89,0,-89
23,1,1,1216,1509,293
24,1,1,959,1713,754
25,1,0,3,0,-3
26,1,1,501,2077,1576
27,0,0,43,0,-43
28,0,0,43,0,-43
29,1,0,40,0,-40
30,0,0,36,0,-36
31,0,0,73,0,-73
32,1,1,518,1217,699
33,1,0,5,0,-5
34,1,1,503,1535,1032
35,1,0,12,0,-12
36,1,1,783,1695,912
37,1,1,260,1217,957
38,0,0,33,0,-33
39,1,1,1107,1264,157
40,1,0,29,0,-29
41,1,1,1997,2729,732
42,0,0,14,0,-14
43,0,0,7,0,-7
44,1,1,361,1490,1129
45,0,0,110,0,-110
46,0,0,2,0,-2
47,1,1,617,1675,1058
48,1,1,61,1320,1259
49,1,1,530,1494,964
50,1,1,228,1456,1228
51,1,0,80,0,-80
52,1,0,81,0,-81
53,0,0,70,0,-70
54,1,1,45,1233,1188
55,1,1,566,3190,2624
56,1,0,65,0,-65
57,0,0,5,0,-5
58,0,0,96,0,-96
59,0,0,24,0,-24
60,0,0,51,0,-51
61,1,0,8,0,-8
62,0,0,6,0,-6
63,1,0,61,0,-61
64,1,1,719,1318,599
65,0,0,5,0,-5
66,1,1,80,1481,1401
67,1,1,195,1693,1498
68,0,0,25,0,-25
69,0,0,113,0,-113
70,0,0,127,0,-127
71,1,1,676,1402,726
72,1,0,68,0,-68
73,0,0,6,0,-6
74,0,0,90,0,-90
75,0,0,15,0,-15
76,1,0,18,0,-18
77,0,0,33,0,-33
78,1,1,683,1411,728
79,1,1,722,1269,547
80,1,1,355,1935,1580
81,1,0,46,0,-46
82,1,1,760,1441,681
83,0,0,0,0,0
84,1,0,3,0,-3
85,0,0,20,0,-20
86,1,1,250,1892,1642
87,0,0,146,0,-146
88,1,0,98,0,-98
89,1,1,238,1288,1050
90,0,0,8,0,-8
91,1,0,33,0,-33
92,1,1,278,1263,985
93,1,0,20,0,-20
94,1,1,83,1480,1397
95,1,0,9,0,-9
96,1,0,23,0,-23
97,0,0,62,0,-62
98,1,0,45,0,-45
99,1,1,664,1507,843
100,0,0,9,0,-9
101,0,0,40,0,-40
102,0,0,5,0,-5
103,0,0,1,0,-1
104,0,0,40,0,-40
105,1,1,759,1214,455
