ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,0,0,27,0,-27
1,1,0,44,0,-44
2,0,0,109,0,-109
3,1,0,7,0,-7
4,1,1,252,1469,1217
5,0,0,2,0,-2
6,1,0,4,0,-4
7,1,0,35,0,-35
8,1,1,616,1377,761
9,0,0,46,0,-46
10,1,1,422,1314,892
11,1,1,235,2993,2758
12,0,0,13,0,-13
13,0,0,4,0,-4
14,1,1,89,1491,1402
15,0,0,76,0,-76
16,0,0,223,0,-223
17,1,1,20,1528,1508
18,0,0,13,0,-13
19,0,0,27,0,-27
20,0,0,12,0,-12
21,1,1,1247,1760,513
22,1,0,17,0,-17
23,1,1,269,2141,1872
24,0,0,25,0,-25
25,1,0,18,0,-18
26,0,0,8,0,-8
27,1,1,1129,1552,423
28,1,0,0,0,0
29,1,0,10,0,-10
30,0,0,60,0,-60
31,1,1,1004,2023,1019
32,0,0,55,0,-55
33,0,0,56,0,-56
34,1,1,75,1616,1541
35,1,1,1442,1583,141
36,1,0,10,0,-10
37,0,0,30,0,-30
38,1,1,135,2166,2031
39,0,0,36,0,-36
40,1,1,293,1621,1328
41,0,0,15,0,-15
42,1,0,46,0,-46
43,1,1,295,1320,1025
44,0,0,27,0,-27
45,1,0,30,0,-30
46,1,0,26,0,-26
47,1,0,0,0,0
48,0,0,12,0,-12
49,1,0,190,0,-190
50,0,0,25,0,-25
51,1,0,48,0,-48
52,1,1,530,1292,762
53,0,0,2,0,-2
54,0,0,98,0,-98
55,0,0,10,0,-10
56,1,1,1258,1402,144
57,0,0,10,0,-10
58,1,1,276,4244,3968
59,1,1,212,1876,1664
60,1,0,11,0,-11
61,1,0,1,0,-1
62,1,1,71,1252,1181
63,1,0,17,0,-17
64,1,0,34,0,-34
65,1,0,18,0,-18
66,0,0,47,0,-47
67,0,0,52,0,-52
68,1,0,103,0,-103
69,0,0,165,0,-165
70,0,0,138,0,-138
71,1,0,51,0,-51
72,1,0,69,0,-69
73,0,0,15,0,-15
74,1,1,536,1525,989
75,0,0,31,0,-31
76,1,0,25,0,-25
77,1,1,531,2107,1576
78,0,0,116,0,-116
79,1,0,77,0,-77
80,1,0,89,0,-89
81,1,0,17,0,-17
82,1,1,230,1640,1410
83,1,0,61,0,-61
84,1,0,37,0,-37
85,1,1,741,1301,560
86,0,0,21,0,-21
87,1,1,1219,1231,12
88,1,1,652,1401,749
89,1,1,3692,1617,-2075
90,0,0,16,0,-16
91,1,1,1192,1597,405
92,1,0,33,0,-33
93,0,0,49,0,-49
94,1,0,56,0,-56
95,0,0,76,0,-76
96,1,0,6,0,-6
97,0,0,51,0,-51
98,0,0,46,0,-46
99,1,0,53,0,-53
100,0,0,15,0,-15
101,1,0,2,0,-2
102,1,0,2,0,-2
103,0,0,11,0,-11
104,1,0,99,0,-99
105,0,0,34,0,-34
106,1,0,53,0,-53
107,1,0,50,0,-50
108,1,0,5,0,-5
109,0,0,9,0,-9
110,0,0,11,0,-11
111,0,0,100,0,-100
112,1,1,159,1331,1172
113,1,0,55,0,-55
114,0,0,61,0,-61
115,1,1,337,1415,1078
116,0,0,42,0,-42
117,0,0,74,0,-74
118,1,0,132,0,-132
119,1,0,42,0,-42
120,0,0,273,0,-273
121,1,0,30,0,-30
122,0,0,46,0,-46
123,1,0,83,0,-83
124,0,0,57,0,-57
125,1,0,57,0,-57
126,1,1,506,2331,1825
127,1,1,73,1569,1496
128,1,0,1,0,-1
129,0,0,26,0,-26
130,1,1,2010,1438,-572
131,1,0,12,0,-12
132,0,0,57,0,-57
133,1,0,51,0,-51
134,1,0,25,0,-25
135,1,0,22,0,-22
136,1,1,561,1302,741
137,0,0,65,0,-65
138,1,1,406,1266,860
139,1,1,665,1218,553
140,1,0,97,0,-97
141,1,1,1040,2128,1088
142,1,1,191,1957,1766
143,1,1,201,1300,1099
144,0,0,7,0,-7
145,1,1,297,2298,2001
146,1,0,41,0,-41
147,1,1,1212,2359,1147
148,0,0,6,0,-6
149,0,0,23,0,-23
150,1,0,17,0,-17
151,1,0,30,0,-30
152,0,0,69,0,-69
153,0,0,101,0,-101
154,1,1,175,1235,1060
155,1,1,593,1375,782
156,0,0,27,0,-27
157,1,1,55,1328,1273
158,0,0,113,0,-113
159,1,1,1295,1341,46
160,1,1,610,1268,658
161,1,0,14,0,-14
162,1,0,233,0,-233
163,1,0,8,0,-8
164,1,0,26,0,-26
165,1,1,39,1304,1265
166,0,0,45,0,-45
167,0,0,20,0,-20
168,1,0,21,0,-21
169,1,0,14,0,-14
170,0,0,46,0,-46
171,1,1,279,1326,1047
172,1,0,77,0,-77
173,1,1,1022,1420,398
174,1,0,10,0,-10
175,0,0,32,0,-32
176,1,1,517,1370,853
177,0,0,2,0,-2
178,1,0,57,0,-57
179,1,1,675,1718,1043
180,1,0,6,0,-6
181,1,0,59,0,-59
182,0,0,78,0,-78
183,1,1,1419,1554,135
184,1,1,364,1314,950
185,0,0,0,0,0
186,0,0,11,0,-11
187,0,0,96,0,-96
188,0,0,155,0,-155
189,1,0,56,0,-56
190,1,1,1272,1227,-45
191,1,0,3,0,-3
192,0,0,40,0,-40
193,1,1,714,1242,528
194,1,0,56,0,-56
195,1,1,384,2064,1680
196,0,0,22,0,-22
197,0,0,17,0,-17
198,1,1,212,2130,1918
199,0,0,35,0,-35
200,1,1,21,1330,1309
201,0,0,18,0,-18
202,1,0,33,0,-33
203,1,0,211,0,-211
204,0,0,73,0,-73
205,1,1,306,1235,929
206,0,0,32,0,-32
207,0,0,28,0,-28
208,0,0,38,0,-38
209,0,0,34,0,-34
210,0,0,122,0,-122
211,0,0,43,0,-43
212,0,0,79,0,-79
213,0,0,233,0,-233
214,1,0,104,0,-104
215,1,0,56,0,-56
216,1,1,419,1512,1093
217,0,0,24,0,-24
218,0,0,25,0,-25
219,0,0,58,0,-58
220,0,0,67,0,-67
221,1,1,432,2010,1578
222,1,1,295,1630,1335
223,1,0,0,0,0
224,1,0,17,0,-17
225,0,0,13,0,-13
226,1,1,642,1353,711
227,0,0,12,0,-12
228,1,1,191,1249,1058
229,1,1,471,1611,1140
230,0,0,11,0,-11
231,1,1,484,1239,755
232,0,0,0,0,0
233,1,0,46,0,-46
234,1,1,482,1883,1401
235,0,0,68,0,-68
236,1,0,24,0,-24
237,1,0,1,0,-1
238,1,1,260,1518,1258
239,0,0,170,0,-170
240,0,0,15,0,-15
241,1,0,43,0,-43
242,1,1,596,1262,666
243,1,0,209,0,-209
244,0,0,159,0,-159
245,0,0,25,0,-25
246,1,1,217,1200,983
247,0,0,0,0,0
248,1,1,770,1324,554
249,0,0,11,0,-11
250,0,0,16,0,-16
251,1,0,11,0,-11
252,0,0,3,0,-3
253,1,1,126,2028,1902
254,0,0,51,0,-51
255,1,0,24,0,-24
256,0,0,19,0,-19
257,0,0,0,0,0
258,0,0,58,0,-58
259,0,0,17,0,-17
260,1,1,1654,1489,-165
261,1,1,1263,1715,452
262,0,0,7,0,-7
263,1,1,64,1478,1414
264,1,0,4,0,-4
265,0,0,24,0,-24
266,0,0,23,0,-23
267,1,1,364,1675,1311
268,1,1,751,1484,733
269,1,1,274,1428,1154
270,0,0,89,0,-89
271,1,0,61,0,-61
272,1,0,8,0,-8
273,1,0,30,0,-30
274,0,0,52,0,-52
275,1,0,23,0,-23
276,0,0,129,0,-129
277,0,0,106,0,-106
278,1,1,831,1298,467
279,0,0,62,0,-62
280,0,0,48,0,-48
281,0,0,2,0,-2
282,1,0,26,0,-26
283,0,0,149,0,-149
284,1,0,37,0,-37
285,0,0,10,0,-10
286,1,0,55,0,-55
287,1,0,4,0,-4
288,1,0,31,0,-31
289,1,0,186,0,-186
290,1,1,43,1462,1419
291,0,0,69,0,-69
292,0,0,55,0,-55
293,0,0,0,0,0
294,0,0,17,0,-17
295,0,0,88,0,-88
296,1,0,21,0,-21
297,0,0,150,0,-150
298,1,1,876,1940,1064
299,1,1,141,1232,1091
300,0,0,34,0,-34
301,0,0,4,0,-4
302,1,0,28,0,-28
303,0,0,51,0,-51
304,1,0,62,0,-62
305,0,0,16,0,-16
306,1,1,225,1236,1011
307,1,1,1004,1222,218
308,1,0,24,0,-24
309,1,0,8,0,-8
310,1,1,875,1401,526
311,0,0,36,0,-36
312,1,0,72,0,-72
313,1,1,233,1229,996
314,1,1,79,1526,1447
315,0,0,19,0,-19
316,1,0,18,0,-18
317,0,0,80,0,-80
318,1,0,29,0,-29
319,1,0,54,0,-54
320,0,0,6,0,-6
321,1,1,1059,1378,319
322,1,1,399,1262,863
323,0,0,33,0,-33
324,0,0,121,0,-121
325,1,0,8,0,-8
326,0,0,50,0,-50
327,1,1,298,1253,955
328,1,1,72,1445,1373
329,1,1,1137,1390,253
330,1,0,25,0,-25
331,1,0,51,0,-51
332,0,0,90,0,-90
333,0,0,15,0,-15
334,1,0,35,0,-35
335,1,0,27,0,-27
336,0,0,29,0,-29
337,1,0,21,0,-21
338,1,1,65,1306,1241
339,1,0,25,0,-25
340,1,0,25,0,-25
341,1,0,30,0,-30
342,0,0,26,0,-26
343,0,0,13,0,-13
344,1,1,48,1382,1334
345,0,0,44,0,-44
346,0,0,0,0,0
347,1,1,622,1427,805
348,1,0,143,0,-143
349,1,1,106,1529,1423
350,0,0,382,0,-382
351,1,0,34,0,-34
352,1,1,244,1317,1073
353,0,0,57,0,-57
354,1,1,60,2944,2884
355,1,1,514,1350,836
356,1,1,448,1556,1108
357,0,0,28,0,-28
358,1,0,35,0,-35
359,0,0,61,0,-61
360,0,0,113,0,-113
361,1,0,28,0,-28
362,1,0,75,0,-75
363,1,1,512,1937,1425
364,1,1,229,1317,1088
365,1,0,20,0,-20
366,1,0,14,0,-14
367,1,1,120,1401,1281
368,1,1,83,1894,1811
369,1,1,298,2017,1719
370,1,0,43,0,-43
371,1,0,182,0,-182
372,0,0,56,0,-56
373,1,0,8,0,-8
374,1,1,169,1328,1159
375,1,1,270,1656,1386
376,1,0,4,0,-4
377,0,0,4,0,-4
378,1,1,460,2037,1577
379,1,1,1444,1450,6
380,0,0,37,0,-37
381,0,0,38,0,-38
382,0,0,35,0,-35
383,1,1,407,1358,951
384,1,0,108,0,-108
385,1,1,130,1322,1192
386,1,1,1186,1479,293
387,1,0,8,0,-8
388,1,0,13,0,-13
