ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
0,59,27651.613777193736,0.19085347747084572,0,0,0,0,0
1,46,37747.115237652215,0.3944539182685486,0,57,0,0,-57
2,63,24691.92745781232,0.13303034223830137,1,664,10361,1718,11415
3,48,25758.13671176925,0.19367857352496426,1,394,5269,2021,6896
4,20,20423.53149402476,0.00463244591367268,1,84,7368,3234,10518
5,30,105560.1615085328,0.2811768851358483,1,341,10828,4393,14880
6,63,20966.831994650485,0.19498546026055,1,1112,18664,1528,19080
7,66,24337.66480675552,0.02954969917269684,1,731,16943,1527,17739
8,62,32093.191562520966,0.006177065972026131,1,809,6316,2511,8018
9,51,23567.277902722813,0.014434709347632552,1,563,6331,1648,7416
10,25,31117.669957414597,0.018237693169943687,1,1004,16120,1932,17048
11,32,20291.297394897734,0.09204803799184941,1,77,6753,1858,8534
12,70,27570.496460118993,0.17830069631541293,1,773,6100,1460,6787
13,56,26006.886401135478,0.2064790301191141,1,575,5939,2060,7424
14,58,75934.09641044607,0.10036633509034822,1,778,9807,1982,11011
15,33,30064.876891019296,0.2854821561011861,1,302,5261,1983,6942
16,31,99270.84507477698,0.0917309417474398,1,372,13209,2038,14875
17,62,27770.804027885093,0.21180789780592998,0,35,0,0,-35
18,21,23900.668459086937,0.5335375351525262,1,801,5640,1526,6365
19,50,31423.37602533183,0.16111691535688138,1,314,6913,1962,8561
20,28,24030.157591443207,0.06503649749430823,0,47,0,0,-47
21,21,24706.79018061951,0.06421698380560686,1,1312,6119,1515,6322
22,33,26890.072980222656,0.14911154496314744,0,110,0,0,-110
23,44,20630.483749506362,0.049716421638504864,1,301,5640,1508,6847
24,71,21822.628240249258,0.033329791073768114,1,593,5525,1790,6722
25,49,36758.6742910176,0.0010535911421092733,1,128,7343,1585,8800
26,64,22454.309353773442,0.08138735333806554,0,12,0,0,-12
27,49,23090.25268499379,0.03022133300728914,1,706,7739,2004,9037
28,65,21119.046479266417,0.2752043513379243,0,55,0,0,-55
29,20,24342.678929129903,0.1976802959190353,1,91,12422,1997,14328
30,33,28617.33167146703,0.1536245253286908,1,128,5831,2038,7741
31,29,23187.415877692867,0.3137804771537174,0,0,0,0,0
32,24,21169.23888045896,0.018126996572285527,1,1133,9110,2617,10594
33,34,27717.741570248814,0.16851860519764877,1,371,11577,1692,12898
34,36,20744.63227471074,0.15413100885936923,1,435,5778,3408,8751
35,18,33738.7052472793,0.06534966491704157,1,516,5467,3411,8362
36,73,52397.66269643189,0.08858467096322784,1,381,5476,2032,7127
37,50,35967.23267192017,0.06507123992876059,1,122,6161,2055,8094
38,55,20713.729212057577,0.017400125067757736,1,400,5783,1450,6833
39,26,23661.623420708678,0.07721615654340615,1,285,6089,2591,8395
40,65,22293.722233206914,0.11634225800364908,1,453,6334,2275,8156
41,20,31003.072355250857,0.05119188411873726,0,27,0,0,-27
42,37,57552.44170657502,0.0006285084329833848,0,65,0,0,-65
43,42,29038.601020614307,0.2162240595999578,0,43,0,0,-43
44,74,28668.323192397107,0.015892094812187115,0,22,0,0,-22
45,56,29412.232663150196,0.14668589210151425,0,87,0,0,-87
46,52,26102.033946583575,0.14708433076692365,0,48,0,0,-48
47,21,25695.974321948066,0.03402594663344492,1,404,6734,1499,7829
48,58,24525.05298220679,0.07241568815117712,1,128,5477,1964,7313
49,21,20048.85540643863,0.13311202445455234,1,177,27106,1587,28516
50,20,21820.48101993916,0.2601691187822163,0,17,0,0,-17
51,38,21984.205073262423,0.24125983837972156,1,138,10125,2181,12168
52,46,20916.89211265243,0.2089792725052301,0,40,0,0,-40
53,32,24807.168347758976,0.4654698319010509,0,3,0,0,-3
54,25,23843.46220903434,0.2138473576820428,1,732,7086,1675,8029
55,37,28397.083853957516,0.24039457890110869,1,227,5676,1644,7093
56,21,20490.92239023805,0.06449827901722746,1,560,6550,1959,7949
57,67,24280.067724888842,0.008867016429422102,1,378,12624,1723,13969
58,47,43676.29521066318,0.010073582891438573,1,259,7703,2159,9603
59,23,20524.606839263794,0.13861176503057024,1,177,5569,2706,8098
