ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
0,31,36305.51788303637,0.015659479543076154,1,952,6612,2685,8345
1,21,24064.092773226075,0.046393016093578585,1,2250,6586,1803,6139
2,26,23892.855918139554,0.05485142025488367,0,53,0,0,-53
3,53,21629.641133395555,0.12427693850668112,1,290,9010,2476,11196
4,67,20973.186146982458,0.11324284436619413,1,162,6065,1415,7318
5,25,32450.736794376982,0.20523557796115188,1,374,5386,1411,6423
6,37,58478.82089442325,0.03470722390646576,1,211,6882,1553,8224
7,18,38296.73548113139,0.011168259448788024,1,130,33735,1698,35303
8,39,49995.995255902475,0.2379330235852474,1,600,5418,2350,7168
9,28,57461.15861045982,0.4199140513787768,1,794,5893,1507,6606
10,74,36282.53528038789,0.25958565755805624,1,255,6809,1763,8317
11,29,24972.18082742817,0.17277244607218453,0,90,0,0,-90
12,29,21873.42460621916,0.2583974767590847,1,157,7518,1373,8734
13,36,28882.07503581687,0.2937365104274572,0,59,0,0,-59
14,67,69568.60299438573,0.07822835896244205,0,5,0,0,-5
15,63,35845.33155050307,0.13155990496749892,1,413,9606,1730,10923
16,36,26389.873477509394,0.18101447815543634,1,563,5795,1961,7193
17,45,25589.9835366013,0.20155001146839857,1,356,5943,1639,7226
18,64,46149.81772826653,0.20360324385085035,1,264,9891,1343,10970
19,18,20170.5614506667,0.05788879032337214,0,81,0,0,-81
20,52,20363.88335950125,0.28291411433090985,1,781,5259,1682,6160
21,42,30336.041060971085,0.04495616812245212,1,523,7163,1340,7980
22,62,31536.149640208223,0.43526471569523617,1,428,8621,1934,10127
23,42,34608.772889096734,0.052780447216535034,1,1176,9650,1339,9813
24,60,27012.79826658689,0.029167670101590642,1,255,14257,1554,15556
25,38,21713.0617443774,0.020079164661220075,1,752,7200,2777,9225
26,48,29302.758385793135,0.09085415387148546,1,1093,6153,2837,7897
27,63,23185.132443196595,0.07171058414944852,0,76,0,0,-76
28,18,21189.748653050934,0.12837400404727248,1,48,6569,2252,8773
29,36,41073.33753154135,0.5141239569496423,1,600,5585,1627,6612
30,45,25220.833194102986,0.11794687139535874,1,64,5459,1406,6801
31,18,28169.555909726554,0.02330335845392514,1,358,17966,2375,19983
32,19,22995.41961945965,0.06908582577538337,0,55,0,0,-55
33,43,26910.311024661292,0.2763691405038019,0,3,0,0,-3
34,48,39603.31558966362,0.0633832343465187,0,64,0,0,-64
35,21,28538.498947893022,0.09555677506715059,1,307,7756,1423,8872
36,62,20085.04496357987,0.09627791607873543,1,1276,5276,3200,7200
37,31,21026.759564477994,0.19126645887284735,1,350,8888,1489,10027
38,74,48037.47738413434,0.22114188423775966,1,563,10389,3086,12912
39,19,25404.01537827889,0.15658248039127634,1,28,26905,2519,29396
40,23,27300.662591652952,0.1503476396208342,1,514,24176,1685,25347
41,18,33086.030203402646,0.3031283758899481,1,400,5370,1583,6553
42,74,20495.55537917155,0.13099638850526898,1,1814,6110,1438,5734
43,32,39673.558617616414,0.05040101023735906,1,130,6316,1808,7994
44,20,21317.33421823617,0.3367119229431426,0,121,0,0,-121
45,49,46256.39100411694,0.23514325677571749,1,191,8632,1805,10246
46,26,21114.620783918854,0.09142014387438853,1,3113,6904,1358,5149
47,24,20434.364243710264,0.0314411898652938,1,513,5756,1348,6591
48,22,22842.030890353155,0.026327581595794312,1,1122,8307,1373,8558
49,25,25709.092660902257,0.058882918296081395,1,226,5718,1483,6975
50,45,26538.282806886233,0.017697076001517223,1,525,5350,1880,6705
51,46,30887.640751060706,0.20473828716195347,0,27,0,0,-27
52,27,20742.31509143508,0.18921910933804878,1,131,6061,1596,7526
53,62,21654.36891199928,0.3024153061079274,1,2010,6197,1728,5915
54,28,24953.87682887514,0.3445570884115102,0,46,0,0,-46
55,34,23619.034335703076,0.11927678208723187,0,25,0,0,-25
56,36,39104.451075721525,0.030736494277298014,1,441,7379,1339,8277
57,47,54934.575752152225,0.40508703159920006,0,55,0,0,-55
58,50,22992.39977557689,0.032143306894520385,1,74,9710,2781,12417
59,50,23101.789347720383,0.3474793997438228,1,845,5463,2063,6681
60,34,22983.9252677814,0.11700943178900886,0,17,0,0,-17
61,56,31510.371401895463,0.19133567598476323,1,200,64105,1687,65592
62,40,20512.693779181038,0.06872200599408528,0,24,0,0,-24
63,30,22226.519929513837,0.29616644832704464,1,216,7713,1853,9350
64,40,25437.56668331558,0.048951369786893364,1,341,5264,1390,6313
65,56,24448.657836753828,0.15659828806436085,1,318,6866,1472,8020
66,26,23941.967796015717,0.020916871342440555,1,300,6462,1491,7653
67,26,27795.77226628646,0.006642701577260394,1,12,5519,1762,7269
68,33,35680.71860435982,0.26973013167815146,1,1447,6827,1471,6851
69,47,28463.37514769616,0.030950141625128297,1,711,28072,2517,29878
70,61,25078.633717746747,0.2169380635667233,1,419,6128,1891,7600
71,73,21118.772385706143,0.07446669422809628,1,141,14822,1340,16021
72,43,39217.113466240684,0.04074518996073567,1,126,12101,1427,13402
73,51,23441.657319955506,0.4795782673823891,1,531,6326,1744,7539
74,20,22022.231110518605,0.045239259203307174,1,90,11177,1752,12839
75,68,22719.606661292117,0.1638808684068962,1,634,9130,1691,10187
76,24,26008.586138383514,0.008644449081915691,1,1572,20040,8165,26633
77,41,21812.88833367947,0.014348591397955584,1,66,9157,1984,11075
78,31,101986.10094214533,0.1262966468238753,1,481,6488,2443,8450
79,24,24753.351437746984,0.02646375166749077,0,15,0,0,-15
80,42,34132.83689111612,0.12008793420407751,0,59,0,0,-59
81,54,27725.76432931396,0.142267311244409,1,978,5826,1496,6344
82,38,23802.867553454216,0.18523531776686214,0,36,0,0,-36
83,30,24134.92813706128,0.006338284849109962,1,794,5839,1600,6645
84,48,21583.746448173482,0.38898225346589144,0,44,0,0,-44
85,44,25498.844938489252,0.05402397081508135,1,212,6140,1585,7513
86,65,24708.733984264145,0.0015973905231439292,1,219,7665,1347,8793
87,26,23323.138172678733,0.2661953796962926,1,126,8907,1504,10285
88,33,25323.38540049317,0.11594185044593516,1,336,5368,1577,6609
